Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Primary Target,Pathway,Mean Normalized Growth Rate Inhibition Value,Increased Fraction Dead
50211-2,HCC1806,10390-103-1,Abemaciclib,0.001,CDK4/6,Cell cycle,0.9779,0.00362
50211-2,HCC1806,10390-103-1,Abemaciclib,0.0031623,CDK4/6,Cell cycle,0.9667,-0.00301
50211-2,HCC1806,10390-103-1,Abemaciclib,0.01,CDK4/6,Cell cycle,0.9168,0.00484
50211-2,HCC1806,10390-103-1,Abemaciclib,0.031623,CDK4/6,Cell cycle,0.7658,0.01650
50211-2,HCC1806,10390-103-1,Abemaciclib,0.1,CDK4/6,Cell cycle,0.7132,0.01025
50211-2,HCC1806,10390-103-1,Abemaciclib,0.31623,CDK4/6,Cell cycle,0.6567,0.01780
50211-2,HCC1806,10390-103-1,Abemaciclib,1.0,CDK4/6,Cell cycle,0.4501,0.04250
50211-2,HCC1806,10390-103-1,Abemaciclib,3.1623,CDK4/6,Cell cycle,0.1267,0.14911
50211-2,HCC1806,10390-103-1,Abemaciclib,10.0,CDK4/6,Cell cycle,-0.4440,0.69010
50211-2,HCC1806,10071-101-1,Palbociclib,0.00031623,CDK4/6,Cell cycle,1.0473,0.00007
50211-2,HCC1806,10071-101-1,Palbociclib,0.001,CDK4/6,Cell cycle,1.0121,0.00165
50211-2,HCC1806,10071-101-1,Palbociclib,0.0031623,CDK4/6,Cell cycle,0.9535,-0.00157
50211-2,HCC1806,10071-101-1,Palbociclib,0.01,CDK4/6,Cell cycle,0.9497,0.00431
50211-2,HCC1806,10071-101-1,Palbociclib,0.031623,CDK4/6,Cell cycle,0.8470,0.00941
50211-2,HCC1806,10071-101-1,Palbociclib,0.1,CDK4/6,Cell cycle,0.7323,0.02268
50211-2,HCC1806,10071-101-1,Palbociclib,0.31623,CDK4/6,Cell cycle,0.7287,0.01539
50211-2,HCC1806,10071-101-1,Palbociclib,1.0,CDK4/6,Cell cycle,0.6924,0.01844
50211-2,HCC1806,10071-101-1,Palbociclib,3.1623,CDK4/6,Cell cycle,0.7848,0.00614
50211-2,HCC1806,10006-101-1,AZD7762,0.001,CHK1/2,Cell cycle,1.0370,0.00365
50211-2,HCC1806,10006-101-1,AZD7762,0.0031623,CHK1/2,Cell cycle,0.9973,0.00852
50211-2,HCC1806,10006-101-1,AZD7762,0.01,CHK1/2,Cell cycle,0.7268,0.06774
50211-2,HCC1806,10006-101-1,AZD7762,0.031623,CHK1/2,Cell cycle,0.1254,0.31387
50211-2,HCC1806,10006-101-1,AZD7762,0.1,CHK1/2,Cell cycle,-0.2483,0.52952
50211-2,HCC1806,10006-101-1,AZD7762,0.31623,CHK1/2,Cell cycle,-0.2887,0.58594
50211-2,HCC1806,10006-101-1,AZD7762,1.0,CHK1/2,Cell cycle,-0.3313,0.62585
50211-2,HCC1806,10006-101-1,AZD7762,3.1623,CHK1/2,Cell cycle,-0.3761,0.66396
50211-2,HCC1806,10006-101-1,AZD7762,10.0,CHK1/2,Cell cycle,-0.4822,0.71750
50211-2,HCC1806,10387-101-1,Volasertib,0.0001,PLK,Cell cycle,1.0118,0.00039
50211-2,HCC1806,10387-101-1,Volasertib,0.00031623,PLK,Cell cycle,1.0541,-0.00368
50211-2,HCC1806,10387-101-1,Volasertib,0.001,PLK,Cell cycle,0.9852,0.00748
50211-2,HCC1806,10387-101-1,Volasertib,0.0031623,PLK,Cell cycle,0.3271,0.18652
50211-2,HCC1806,10387-101-1,Volasertib,0.01,PLK,Cell cycle,-0.1860,0.51709
50211-2,HCC1806,10387-101-1,Volasertib,0.031623,PLK,Cell cycle,-0.1662,0.51589
50211-2,HCC1806,10387-101-1,Volasertib,0.1,PLK,Cell cycle,-0.1298,0.49534
50211-2,HCC1806,10387-101-1,Volasertib,0.31623,PLK,Cell cycle,-0.1323,0.48287
50211-2,HCC1806,10387-101-1,Volasertib,1.0,PLK,Cell cycle,-0.1276,0.45270
50211-2,HCC1806,10287-101-2,Dinaciclib,0.0001,pan CDK,Cell cycle,1.0433,-0.00285
50211-2,HCC1806,10287-101-2,Dinaciclib,0.00031623,pan CDK,Cell cycle,1.0550,-0.01089
50211-2,HCC1806,10287-101-2,Dinaciclib,0.001,pan CDK,Cell cycle,1.0024,0.00199
50211-2,HCC1806,10287-101-2,Dinaciclib,0.0031623,pan CDK,Cell cycle,0.9967,0.00059
50211-2,HCC1806,10287-101-2,Dinaciclib,0.01,pan CDK,Cell cycle,0.7679,0.03547
50211-2,HCC1806,10287-101-2,Dinaciclib,0.031623,pan CDK,Cell cycle,-0.3312,0.59546
50211-2,HCC1806,10287-101-2,Dinaciclib,0.1,pan CDK,Cell cycle,-0.4756,0.73826
50211-2,HCC1806,10287-101-2,Dinaciclib,0.31623,pan CDK,Cell cycle,-0.4585,0.72620
50211-2,HCC1806,10287-101-2,Dinaciclib,1.0,pan CDK,Cell cycle,-0.4497,0.71822
50211-2,HCC1806,10245-999-4,Cisplatin,0.0010833,Chemo,Chemotherapy,1.0443,-0.00168
50211-2,HCC1806,10245-999-4,Cisplatin,0.0033333,Chemo,Chemotherapy,1.0548,-0.00497
50211-2,HCC1806,10245-999-4,Cisplatin,0.01,Chemo,Chemotherapy,0.9443,0.00537
50211-2,HCC1806,10245-999-4,Cisplatin,0.031667,Chemo,Chemotherapy,1.0951,-0.00193
50211-2,HCC1806,10245-999-4,Cisplatin,0.1,Chemo,Chemotherapy,0.9733,-0.00682
50211-2,HCC1806,10245-999-4,Cisplatin,0.31623,Chemo,Chemotherapy,0.7090,0.01990
50211-2,HCC1806,10245-999-4,Cisplatin,1.0,Chemo,Chemotherapy,0.4865,0.10898
50211-2,HCC1806,10245-999-4,Cisplatin,3.1623,Chemo,Chemotherapy,-0.1138,0.28875
50211-2,HCC1806,10245-999-4,Cisplatin,10.0,Chemo,Chemotherapy,-0.3648,0.50046
50211-2,HCC1806,10248-102-3,Doxorubicin,0.00031623,Chemo,Chemotherapy,0.9295,0.00552
50211-2,HCC1806,10248-102-3,Doxorubicin,0.001,Chemo,Chemotherapy,0.9949,0.00116
50211-2,HCC1806,10248-102-3,Doxorubicin,0.0031623,Chemo,Chemotherapy,0.9411,0.01376
50211-2,HCC1806,10248-102-3,Doxorubicin,0.01,Chemo,Chemotherapy,0.6358,0.10489
50211-2,HCC1806,10248-102-3,Doxorubicin,0.031623,Chemo,Chemotherapy,0.2074,0.21696
50211-2,HCC1806,10248-102-3,Doxorubicin,0.1,Chemo,Chemotherapy,0.0325,0.24860
50211-2,HCC1806,10248-102-3,Doxorubicin,0.31623,Chemo,Chemotherapy,-0.0087,0.27447
50211-2,HCC1806,10248-102-3,Doxorubicin,1.0,Chemo,Chemotherapy,-0.1301,0.33133
50211-2,HCC1806,10248-102-3,Doxorubicin,3.1623,Chemo,Chemotherapy,-0.3241,0.57687
50211-2,HCC1806,10102-101-4,Taxol,0.0001,Chemo,Chemotherapy,0.7362,0.03761
50211-2,HCC1806,10102-101-4,Taxol,0.00031623,Chemo,Chemotherapy,1.0636,-0.00191
50211-2,HCC1806,10102-101-4,Taxol,0.001,Chemo,Chemotherapy,0.6890,0.09120
50211-2,HCC1806,10102-101-4,Taxol,0.0031623,Chemo,Chemotherapy,0.0392,0.34787
50211-2,HCC1806,10102-101-4,Taxol,0.01,Chemo,Chemotherapy,-0.1493,0.46357
50211-2,HCC1806,10102-101-4,Taxol,0.031623,Chemo,Chemotherapy,-0.1770,0.52601
50211-2,HCC1806,10102-101-4,Taxol,0.1,Chemo,Chemotherapy,-0.2222,0.55080
50211-2,HCC1806,10102-101-4,Taxol,0.31623,Chemo,Chemotherapy,-0.2113,0.55998
50211-2,HCC1806,10102-101-4,Taxol,1.0,Chemo,Chemotherapy,-0.2088,0.56878
50211-2,HCC1806,10278-102-2,Topotecan,0.0010833,Topo I,Chemotherapy,0.8402,0.01224
50211-2,HCC1806,10278-102-2,Topotecan,0.0033333,Topo I,Chemotherapy,0.8148,0.03520
50211-2,HCC1806,10278-102-2,Topotecan,0.01,Topo I,Chemotherapy,0.1002,0.20611
50211-2,HCC1806,10278-102-2,Topotecan,0.031667,Topo I,Chemotherapy,-0.1410,0.36642
50211-2,HCC1806,10278-102-2,Topotecan,0.1,Topo I,Chemotherapy,-0.1930,0.45120
50211-2,HCC1806,10278-102-2,Topotecan,0.31623,Topo I,Chemotherapy,-0.3166,0.52031
50211-2,HCC1806,10278-102-2,Topotecan,1.0,Topo I,Chemotherapy,-0.4557,0.51347
50211-2,HCC1806,10278-102-2,Topotecan,3.1623,Topo I,Chemotherapy,-0.5081,0.50830
50211-2,HCC1806,10278-102-2,Topotecan,10.0,Topo I,Chemotherapy,-0.5458,0.55016
50211-2,HCC1806,10250-101-3,Etoposide,0.0010833,Topo II,Chemotherapy,1.0669,-0.00367
50211-2,HCC1806,10250-101-3,Etoposide,0.0033333,Topo II,Chemotherapy,1.0136,-0.01034
50211-2,HCC1806,10250-101-3,Etoposide,0.01,Topo II,Chemotherapy,0.9215,0.01352
50211-2,HCC1806,10250-101-3,Etoposide,0.031667,Topo II,Chemotherapy,0.8408,0.02524
50211-2,HCC1806,10250-101-3,Etoposide,0.1,Topo II,Chemotherapy,0.4365,0.06499
50211-2,HCC1806,10250-101-3,Etoposide,0.31623,Topo II,Chemotherapy,0.0532,0.26506
50211-2,HCC1806,10250-101-3,Etoposide,1.0,Topo II,Chemotherapy,-0.2399,0.40223
50211-2,HCC1806,10250-101-3,Etoposide,3.1623,Topo II,Chemotherapy,-0.4171,0.47329
50211-2,HCC1806,10250-101-3,Etoposide,10.0,Topo II,Chemotherapy,-0.5629,0.58641
50211-2,HCC1806,10020-101-1,Dasatinib,0.001,BCR/ABL,MAPK/nRTK,0.9193,0.01548
50211-2,HCC1806,10020-101-1,Dasatinib,0.0031623,BCR/ABL,MAPK/nRTK,0.9316,0.00249
50211-2,HCC1806,10020-101-1,Dasatinib,0.01,BCR/ABL,MAPK/nRTK,0.9231,0.01466
50211-2,HCC1806,10020-101-1,Dasatinib,0.031623,BCR/ABL,MAPK/nRTK,0.6792,0.04311
50211-2,HCC1806,10020-101-1,Dasatinib,0.1,BCR/ABL,MAPK/nRTK,0.2990,0.14756
50211-2,HCC1806,10020-101-1,Dasatinib,0.31623,BCR/ABL,MAPK/nRTK,-0.0810,0.31128
50211-2,HCC1806,10020-101-1,Dasatinib,1.0,BCR/ABL,MAPK/nRTK,-0.1363,0.32774
50211-2,HCC1806,10020-101-1,Dasatinib,3.1623,BCR/ABL,MAPK/nRTK,-0.0635,0.25574
50211-2,HCC1806,10020-101-1,Dasatinib,10.0,BCR/ABL,MAPK/nRTK,-0.0992,0.34463
50211-2,HCC1806,10142-101-1,Trametinib,0.0001,MEK,MAPK/nRTK,1.0301,0.00613
50211-2,HCC1806,10142-101-1,Trametinib,0.00031623,MEK,MAPK/nRTK,1.0766,-0.00142
50211-2,HCC1806,10142-101-1,Trametinib,0.001,MEK,MAPK/nRTK,1.0631,0.00977
50211-2,HCC1806,10142-101-1,Trametinib,0.0031623,MEK,MAPK/nRTK,1.0012,0.01922
50211-2,HCC1806,10142-101-1,Trametinib,0.01,MEK,MAPK/nRTK,0.8218,0.03053
